,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
268,Machine Learning  ,ColumbiaX,Computer Science,"Machine Learning is the basis for the most exciting careers in data analysis today. You’ll learn the models and methods and apply them to real world situations ranging from identifying trending news topics, to building recommendation engines, ranking sports teams and plotting the path of movie zombies.",249.00,152037,12,2
269,The Best Start in Life: Early Childhood Development for Sustainable Development  ,SDGAcademyX,Education & Teacher Training,What does a successful early childhood care program look like? How has a child’s brain developed at the age of 3? How does nutrition impact the future well-being of a child into adulthood? ,49.00,24143,8,1
270,Success: Practical Thinking Skills  ,HKPolyUx,Philosophy & Ethics,An Award-Winning MOOC Expanded and Updated,50.00,25271,4,0
271,Strategic Management  ,IIMBx,Business & Management,"In this business and management course, you will develop a strong understanding of how firms compete by learning about important analytical approaches that underlie business strategy.",150.00,72034,5,0
272,Marketing enfocado en la estrategia de servicios  ,UNCordobaX,Business & Management,El sector servicios (sector terciario) en el siglo XXI ha alcanzado una altísima participación en el PBI (también conocido como PIB) mundial y mantendrá esta tendencia a ritmo exponencial. ,119.00,25390,6,0
273,Italian Language and Culture: Intermediate (2019-2020)  ,WellesleyX,Language,Benvenuti e Benvenute! (Welcome!),49.00,35919,12,1
274,Habilidades de negociación y comunicación efectiva  ,TecdeMonterreyX,Business & Management,"Negociamos desde que inicia el día, a través de todas nuestras interacciones, ya sean laborales, sociales o familiares. Pero te has preguntado ¿Qué tan eficientemente negocias y si lo podrías hacer mejor? Esta es una gran oportunidad para que pongas en práctica y de manera inmediata los conocimientos adquiridos y compruebes que el proceso de negociar es dinámico y siempre se puede mejorar. ",149.00,20773,4,0
275,Pre-University Calculus  ,DelftX,Math,"Mathematics is the language of Science, Engineering and Technology. Calculus is an elementary mathematical course in any Science and Engineering Bachelor. Pre-university Calculus will prepare you for the Introductory Calculus courses by revising five important mathematical subjects that are assumed to be mastered by beginning Bachelor students: functions, equations, differentiation, integration and analytic geometry. After this course you will be well prepared to start your university calculus course. You will learn to understand the necessary definitions and mathematical concepts needed and you will be trained to apply those and solve mathematical problems. You will feel confident in using basic mathematical techniques for your first calculus course at university-level, building on high-school level mathematics. We aim to teach you the skills, but also to show you how mathematics will be used in different engineering and science disciplines.",50.00,104051,8,0
276,Blockchain: Understanding Its Uses and Implications  ,LinuxFoundationX,Business & Management,Blockchain technology is changing how business is executed. It's important to understand why blockchain is different and how it works in comparison with technologies of the past. ,149.00,67713,14,0
277,Una mirada a la gestión de riesgos ambientales y sociales en proyectos BID  ,IDBx,Environmental Studies,"El BID demuestra un fuerte compromiso con la sostenibilidad a través de sus políticas, normas y directrices para la gestión ambiental y social. Cada política fomenta la sostenibilidad a través de un enfoque con dos vertientes. Por una parte, mejora los resultados de sus proyectos mediante la integración de las preocupaciones ambientales y sociales. Por otra parte, minimiza los impactos negativos en temas tales como:",25.00,6324,1,0
278,Japanese Pronunciation for Communication  ,WasedaX,Communication,ひらがなのある説明（せつめい）はこちらをクリックしてください。,99.00,63666,5,0
279,The Ancient Greek Hero  ,HarvardX,Humanities,Explore what it means to be human today by studying what it meant to be a hero in ancient Greek times. ,169.00,52423,18,0
280,Introducción a la inteligencia emocional  ,AnahuacX,Social Sciences,"La inteligencia emocional es un conjunto de herramientas personales que nos ayudan a potenciar todas las situaciones de nuestra vida, planear nuestras acciones y en general, tomar mejores decisiones. Pensar en tener exito sin inteligencia emocional es como construir una casa sin herramientas: podemos intentar construirla con los mejores materiales (habilidades profesionales) pero si no sabemos como trabajarlos, nunca llegaremos a la meta. ",49.00,20036,4,0
